LAYER	HRU_ROW	HRU_COL
1	157	124
1	157	125
1	157	126
1	157	139
1	157	140
1	157	141
1	157	142
1	156	122
1	156	123
1	156	124
1	156	125
1	156	140
1	156	141
1	156	142
1	156	143
1	155	121
1	155	122
1	155	123
1	155	124
1	155	140
1	155	141
1	155	142
1	155	143
1	155	144
1	154	120
1	154	121
1	154	122
1	154	123
1	154	141
1	154	142
1	154	143
1	154	144
1	154	145
1	153	119
1	153	120
1	153	121
1	153	122
1	153	142
1	153	143
1	153	144
1	153	145
1	153	146
1	152	118
1	152	119
1	152	120
1	152	143
1	152	144
1	152	145
1	151	117
1	151	118
1	151	119
1	151	120
1	151	143
1	151	144
1	151	145
1	151	146
1	150	115
1	150	116
1	150	117
1	150	118
1	150	119
1	150	143
1	150	144
1	150	145
1	150	146
1	149	115
1	149	116
1	149	117
1	149	118
1	149	142
1	149	143
1	149	144
1	149	145
1	149	146
1	148	114
1	148	115
1	148	116
1	148	141
1	148	142
1	148	143
1	148	144
1	147	142
1	147	143
1	147	144
1	146	143
1	146	144
1	146	145
1	145	143
1	145	144
1	145	145
1	145	146
1	144	144
1	144	145
1	144	146
1	144	147
1	144	148
1	143	145
1	143	146
1	143	147
1	143	148
1	143	149
1	143	150
1	142	146
1	142	147
1	142	148
1	142	149
1	142	150
1	142	151
1	142	152
1	141	147
1	141	148
1	141	149
1	141	150
1	141	151
1	141	152
1	141	153
1	141	154
1	141	155
1	141	156
1	140	151
1	140	152
1	140	153
1	140	154
1	140	155
1	140	156
1	139	153
1	139	154
1	139	155
1	138	155
