pPts,HRU_ID,HRU_X,HRU_Y,HRU_ROW,HRU_COL,zones_lyr1,zones_lyr2,zones_lyr3,zones_lyr4,SUB_BASIN,SG7,LCA7,WBLG7_lyr3,WBLG7_lyr4,SG7zones,LCA7zones,WBLG7lyr3z,WBLG7lyr4z,demLkFl7,demSg7,lyr2elev7,lyr3elev7,lyr4elev7,lyr1dpth7,lyr2dpth7,lyr3dpth7,lyr4dpth7,lyr1zones,lyr2zones,lyr3zones,lyr4zones
12,162334,6166500,2025500,232,172,0,3,4,5,11,0,1,1,1,0,2,3,3,0,0,0,-50,-100,0,0,0,50,0,3,4,5
46,164432,6164900,2024900,235,164,0,0,5,5,11,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,100,50,0,0,5,5
13,167252,6167300,2024100,239,176,1,3,4,5,11,1,1,1,1,1,2,3,3,0,0,0,-50,-100,12,0,0,50,1,3,4,5
47,169362,6168100,2023500,242,180,0,3,4,5,11,0,1,1,1,0,2,3,3,0,0,0,-50,-100,0,0,0,50,0,3,4,5
51,170757,6166300,2023100,244,171,0,0,5,5,11,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,100,50,0,0,5,5
73,174362,6185300,2022100,249,266,0,0,5,5,1,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,100,50,0,0,5,5
81,175199,6212300,2021900,250,401,0,2,5,5,2,0,1,1,1,0,1,2,2,0,0,0,0,0,0,15,100,50,0,2,5,5
79,176513,6194300,2021500,252,311,0,0,5,5,2,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,100,50,0,0,5,5
49,177091,6169500,2021300,253,187,0,3,4,5,9,0,1,1,1,0,2,3,3,0,0,0,-50,-100,0,0,0,50,0,3,4,5
50,182681,6164300,2019700,261,161,0,0,5,5,11,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,50,0,0,5,5
52,184109,6169100,2019300,263,185,0,3,4,5,9,0,1,1,1,0,2,3,3,0,0,0,-50,-100,0,20,0,50,0,3,4,5
53,187631,6171500,2018300,268,197,0,0,5,5,9,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,100,50,0,0,5,5
72,192570,6176500,2016900,275,222,0,0,5,5,9,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,100,50,0,0,5,5
54,196048,6170100,2015900,280,190,0,0,5,5,9,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,100,50,0,0,5,5
55,204451,6165900,2013500,292,169,0,0,5,5,9,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,100,50,0,0,5,5
56,205890,6172900,2013100,294,204,0,3,5,5,9,0,1,1,1,0,2,2,2,0,0,0,0,0,0,20,100,50,0,3,5,5
71,210089,6170300,2011900,300,191,0,0,5,5,9,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,100,50,0,0,5,5
69,215043,6178300,2010500,307,231,0,2,5,5,9,0,1,1,1,0,1,2,2,0,0,0,0,0,0,15,100,50,0,2,5,5
82,215178,6205300,2010500,307,366,0,0,5,5,6,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,100,50,0,0,5,5
59,224876,6179300,2007700,321,236,0,3,5,5,8,0,1,1,1,0,2,2,2,0,0,0,0,0,0,20,100,50,0,3,5,5
68,226332,6189700,2007300,323,288,0,3,5,5,8,0,1,1,1,0,2,2,2,0,0,0,0,0,0,20,100,50,0,3,5,5
70,226930,6168900,2007100,324,184,0,2,5,5,9,0,1,1,1,0,1,1,1,0,0,0,0,0,0,15,100,50,0,2,5,5
66,228421,6186300,2006700,326,271,0,0,5,5,8,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,100,50,0,0,5,5
67,231262,6192900,2005900,330,304,0,3,5,5,6,0,1,1,1,0,2,1,1,0,0,0,0,0,0,0,100,50,0,3,5,5
83,234138,6206500,2005100,334,372,0,2,5,5,6,0,1,1,1,0,1,2,2,0,0,0,0,0,0,15,100,50,0,2,5,5
57,244537,6180300,2002100,349,241,0,0,5,5,5,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,100,50,0,0,5,5
65,246671,6185900,2001500,352,269,0,2,5,5,5,0,1,1,1,0,1,1,1,0,0,0,0,0,0,15,100,50,0,2,5,5
58,250123,6174300,2000500,357,211,0,0,5,5,5,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,100,50,0,0,5,5
84,256650,6216100,1998700,366,420,0,0,5,5,6,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,100,50,0,0,5,5
60,265617,6184300,1996100,379,261,0,0,5,5,5,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,100,50,0,0,5,5
63,265657,6192300,1996100,379,301,0,0,5,5,5,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,100,50,0,0,5,5
61,267669,6173500,1995500,382,207,0,0,5,5,5,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,100,50,0,0,5,5
85,272035,6204300,1994300,388,361,0,0,5,5,6,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,100,50,0,0,5,5
64,288115,6191100,1989700,411,295,0,0,5,5,5,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,100,50,0,0,5,5
86,293874,6219700,1988100,419,438,0,0,5,5,6,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,50,0,0,5,5
62,299984,6178100,1986300,428,230,0,0,5,5,5,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,100,50,0,0,5,5
90,305733,6204700,1984700,436,363,0,3,5,5,3,0,1,1,1,0,2,1,1,0,0,0,0,0,0,20,0,50,0,3,5,5
87,319901,6230300,1980700,456,491,0,3,5,5,6,0,1,1,1,0,2,2,2,0,0,0,0,0,0,20,100,50,0,3,5,5
89,357735,6215500,1969900,510,417,0,0,5,5,3,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,100,50,0,0,5,5
94,395059,6239100,1959300,563,535,0,2,5,5,3,0,1,1,1,0,3,2,2,0,0,0,0,0,0,15,100,50,0,2,5,5
88,430809,6228700,1949100,614,483,0,0,5,5,3,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,100,50,0,0,5,5
93,457636,6258900,1941500,652,634,0,3,5,5,3,0,1,1,1,0,2,1,1,0,0,0,0,0,0,20,100,50,0,3,5,5
92,461736,6236500,1940300,658,522,0,2,5,5,3,0,1,1,1,0,3,1,1,0,0,0,0,0,0,15,100,50,0,2,5,5
91,508810,6244500,1926900,725,562,0,0,5,5,3,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,100,50,0,0,5,5
