date,ymd,calaveras_reservoir,pond_f2,pond_f3e,pond_f3w,pond_f4,pond_f6,ready_mix_pond,san_antonio_reservoir
12/23/2010,20101223,703.5,-999,-999,-999,-999,-999,-999,461.2
12/24/2010,20101224,703.8,-999,-999,-999,-999,-999,-999,461.1
12/25/2010,20101225,704,-999,-999,-999,-999,-999,-999,461
12/26/2010,20101226,704.3,-999,-999,-999,-999,-999,-999,460.8
12/27/2010,20101227,704.9,-999,-999,-999,-999,-999,-999,460.6
12/28/2010,20101228,704.9,-999,-999,-999,-999,-999,-999,460.6
12/29/2010,20101229,706.5,-999,-999,-999,-999,-999,-999,460.8
12/30/2010,20101230,708.5,-999,-999,-999,-999,-999,-999,460.9
12/31/2010,20101231,709,-999,-999,-999,-999,-999,-999,461
1/1/2011,20110101,709.2,-999,-999,-999,-999,-999,-999,460.9
1/2/2011,20110102,709.4,-999,-999,-999,-999,-999,-999,461.1
1/3/2011,20110103,709.8,-999,-999,-999,-999,-999,-999,461.2
1/4/2011,20110104,709.9,-999,-999,-999,-999,-999,-999,461.2
1/5/2011,20110105,710,-999,-999,-999,-999,-999,-999,461.2
1/6/2011,20110106,710.3,-999,-999,-999,-999,-999,-999,461.2
1/7/2011,20110107,710.4,-999,-999,-999,-999,-999,-999,461.2
1/8/2011,20110108,710.5,-999,-999,-999,-999,-999,-999,461.2
1/9/2011,20110109,710.5,-999,-999,-999,-999,-999,-999,461.2
1/10/2011,20110110,710.3,-999,-999,-999,-999,-999,-999,461.2
1/11/2011,20110111,710.1,-999,-999,-999,-999,-999,-999,461.3
1/12/2011,20110112,709.9,-999,-999,-999,-999,-999,-999,461.3
1/13/2011,20110113,709.9,-999,-999,-999,-999,-999,-999,461.3
1/14/2011,20110114,709.8,-999,-999,-999,-999,-999,-999,461.2
1/15/2011,20110115,709.8,-999,-999,-999,-999,-999,-999,461.3
1/16/2011,20110116,709.7,-999,-999,-999,-999,-999,-999,461.3
1/17/2011,20110117,709.6,-999,-999,-999,-999,-999,-999,461.3
1/18/2011,20110118,709.4,-999,-999,-999,-999,-999,-999,461.3
1/19/2011,20110119,709.3,-999,-999,-999,-999,-999,-999,461.4
1/20/2011,20110120,709.2,-999,-999,-999,-999,-999,-999,461.3
1/21/2011,20110121,709.1,-999,-999,-999,-999,-999,-999,461.3
1/22/2011,20110122,709,-999,-999,-999,-999,-999,-999,461.3
1/23/2011,20110123,709,-999,-999,-999,-999,-999,-999,461.3
1/24/2011,20110124,708.9,-999,-999,-999,-999,-999,-999,461.3
1/25/2011,20110125,708.7,-999,-999,-999,-999,-999,-999,461.3
1/26/2011,20110126,708.5,-999,-999,-999,-999,-999,-999,461.3
1/27/2011,20110127,708.5,-999,-999,-999,-999,-999,-999,461.3
1/28/2011,20110128,708.2,-999,-999,-999,-999,-999,-999,461.2
1/29/2011,20110129,708,-999,-999,-999,-999,-999,-999,461.2
1/30/2011,20110130,707.9,-999,-999,-999,-999,-999,-999,461.3
1/31/2011,20110131,707.8,-999,-999,-999,-999,-999,-999,461.3
2/1/2011,20110201,707.6,-999,-999,-999,-999,-999,-999,461.3
2/2/2011,20110202,707.4,-999,-999,-999,-999,-999,-999,461.3
2/3/2011,20110203,707.3,-999,-999,-999,-999,-999,-999,461.3
2/4/2011,20110204,706.9,-999,-999,-999,-999,-999,-999,461.3
2/5/2011,20110205,706.9,-999,-999,-999,-999,-999,-999,461.2
2/6/2011,20110206,706.7,-999,-999,-999,-999,-999,-999,461.3
2/7/2011,20110207,706.5,-999,-999,-999,-999,-999,-999,461.3
2/8/2011,20110208,706,-999,-999,-999,-999,-999,-999,461.3
2/9/2011,20110209,705.8,-999,-999,-999,-999,-999,-999,461.3
2/10/2011,20110210,705.6,-999,-999,-999,-999,-999,-999,461.3
2/11/2011,20110211,705.4,-999,-999,-999,-999,-999,-999,461.3
2/12/2011,20110212,704.9,-999,-999,-999,-999,-999,-999,461.3
2/13/2011,20110213,704.9,-999,-999,-999,-999,-999,-999,461.3
2/14/2011,20110214,704.6,-999,-999,-999,-999,-999,-999,461.3
2/15/2011,20110215,704.2,-999,-999,-999,-999,-999,-999,461.3
2/16/2011,20110216,704.3,-999,-999,-999,-999,-999,-999,461.4
2/17/2011,20110217,704.4,-999,-999,-999,-999,-999,-999,461.4
2/18/2011,20110218,705.7,-999,-999,-999,-999,-999,-999,461.6
2/19/2011,20110219,707.7,-999,-999,-999,-999,-999,-999,461.9
2/20/2011,20110220,709.2,-999,-999,-999,-999,-999,-999,462.2
2/21/2011,20110221,709.9,-999,-999,-999,-999,-999,-999,462.3
2/22/2011,20110222,710,-999,-999,-999,-999,-999,-999,462.4
2/23/2011,20110223,710.5,-999,-999,-999,-999,-999,-999,462.4
2/24/2011,20110224,710.6,-999,-999,-999,-999,-999,-999,462.4
2/25/2011,20110225,710.9,-999,-999,-999,-999,-999,-999,462.8
2/26/2011,20110226,715.1,-999,-999,-999,-999,-999,-999,463.5
2/27/2011,20110227,716.2,-999,-999,-999,-999,-999,-999,463.5
2/28/2011,20110228,716.7,-999,-999,-999,-999,-999,-999,463.7
3/1/2011,20110301,716.9,-999,-999,-999,-999,-999,-999,463.7
3/2/2011,20110302,717,-999,-999,-999,-999,-999,-999,463.7
3/3/2011,20110303,717.2,-999,203.9076,229.2381818,-999,-999,-999,463.8
3/4/2011,20110304,717.3,-999,204.0530208,229.3742708,-999,-999,-999,463.8
3/5/2011,20110305,717.4,-999,204.3211458,229.5509375,-999,-999,-999,463.8
3/6/2011,20110306,717.4,-999,204.5854167,229.6988542,-999,-999,-999,463.9
3/7/2011,20110307,717.4,-999,204.8409375,229.78375,-999,-999,-999,463.9
3/8/2011,20110308,717.4,-999,205.0805208,229.8207292,-999,-999,-999,464
3/9/2011,20110309,717.4,-999,205.3064583,229.7814583,-999,-999,-999,464
3/10/2011,20110310,717.4,-999,205.5386458,229.6973958,-999,-999,-999,464
3/11/2011,20110311,717.4,-999,205.734375,229.67875,-999,-999,-999,464.3
3/12/2011,20110312,717.2,-999,205.9478125,229.715,-999,-999,-999,464.1
3/13/2011,20110313,717.2,-999,206.1527083,229.7711458,-999,-999,-999,464.1
3/14/2011,20110314,717.2,-999,206.3696875,229.7995833,-999,-999,-999,464.1
3/15/2011,20110315,717.1,-999,206.5921875,229.8013542,-999,-999,-999,464.1
3/16/2011,20110316,717,-999,206.8339583,229.8577083,-999,-999,-999,464.2
3/17/2011,20110317,717.1,-999,207.1318391,229.9473864,-999,158.07375,257.5080556,464.2
3/18/2011,20110318,717.1,-999,207.5140625,229.9916667,-999,158.3371875,257.5379167,464.4
3/19/2011,20110319,717.4,-999,207.9572917,230.075625,-999,158.5202083,257.9278125,464.7
3/20/2011,20110320,719.2,-999,208.4964583,230.8030208,-999,158.8376042,258.2054167,465.3
3/21/2011,20110321,722.9,-999,209.0127083,231.3466667,-999,159.1877083,258.2370833,466
3/22/2011,20110322,724.1,-999,209.4402083,231.280625,-999,159.476875,258.2857292,466.6
3/23/2011,20110323,724.8,-999,209.8776042,231.2045833,-999,159.8221875,258.4940625,466.9
3/24/2011,20110324,727,-999,210.3558333,231.4733333,-999,160.4135417,258.8895833,467.5
3/25/2011,20110325,731.1,-999,210.7965625,232.4879167,-999,161.1483333,259.9121875,469
3/26/2011,20110326,732.4,-999,210.5309375,233.1302083,-999,161.6490625,260.0538542,469.1
3/27/2011,20110327,732.9,-999,210.1311458,233.5002083,-999,162.0664583,260.0973958,469
3/28/2011,20110328,732.6,-999,209.6940625,233.4669792,-999,162.5591667,260.0398958,468.9
3/29/2011,20110329,732,-999,209.2384375,233.2771875,-999,163.0852083,259.9657292,468.7
3/30/2011,20110330,731,-999,208.7698958,233.0646875,-999,163.6197917,259.9591667,468.6
3/31/2011,20110331,730.6,-999,208.3028125,232.9014583,-999,164.095625,259.8183333,468.6
4/1/2011,20110401,729.4,-999,207.9376042,232.780625,-999,164.6216667,259.4825,468.6
4/2/2011,20110402,728.3,-999,207.5239583,232.6820833,-999,165.1484375,259.0279167,468.5
4/3/2011,20110403,727.35,-999,207.0557292,232.5873958,-999,165.5522917,258.63375,468.4
4/4/2011,20110404,726.4,-999,206.6152083,232.4392708,-999,165.8864583,258.2902083,468.4
4/5/2011,20110405,725.4,-999,206.1728125,232.2988542,-999,166.3672917,258.15,468.4
4/6/2011,20110406,724.7,-999,205.7408333,232.22875,-999,166.7989583,258.1114583,468.4
4/7/2011,20110407,723.6,-999,205.3111458,232.1471875,-999,167.2520833,258.2071875,468.3
4/8/2011,20110408,723.4,-999,204.8921875,231.8760417,-999,167.6535417,258.1058333,468.4
4/9/2011,20110409,723,-999,204.4927083,231.5992708,-999,167.9709375,258.0638542,468.4
4/10/2011,20110410,722.8,-999,204.0716667,231.4090625,-999,168.2844792,258.0835417,468.3
4/11/2011,20110411,722.5,-999,203.6394792,231.2773958,-999,168.5960417,258.0320833,468.3
4/12/2011,20110412,722.2,-999,203.2394792,231.1745833,-999,168.9190625,257.9766667,468.3
4/13/2011,20110413,721.9,-999,202.8022917,231.075,-999,169.2360417,258.2441667,468.3
4/14/2011,20110414,721.6,-999,201.8385417,231.0275,-999,169.56125,258.2660417,468.3
4/15/2011,20110415,721.4,-999,200.6304167,230.988125,-999,169.8664583,258.30125,468.4
4/16/2011,20110416,721.1,-999,199.419375,230.940625,-999,170.1553125,258.4426042,468.4
4/17/2011,20110417,720.8,-999,198.21,230.9010417,-999,170.6730208,258.461875,468.4
4/18/2011,20110418,720.4,-999,196.9915625,230.7780208,-999,171.218125,258.4372917,468.1
4/19/2011,20110419,720.2,-999,195.7533333,230.58875,-999,171.7265625,258.2969792,468.1
4/20/2011,20110420,720,-999,194.4982292,230.4590625,-999,172.2116667,258.2366667,468
4/21/2011,20110421,719.8,-999,193.238125,230.3583333,-999,172.5707292,258.1926042,467.9
4/22/2011,20110422,719.5,-999,191.9492708,230.2914583,-999,173.0119792,258.3183333,467.9
4/23/2011,20110423,719.3,-999,190.6901042,230.2251042,-999,173.4725,258.2998958,467.9
4/24/2011,20110424,719.1,-999,189.3994792,230.1770833,-999,173.92375,258.2796875,467.8
4/25/2011,20110425,718.8,-999,188.1603125,230.1071875,-999,174.3919792,258.1938542,467.7
4/26/2011,20110426,718.7,-999,186.88625,230.0288542,-999,174.8567708,258.0859375,467.6
4/27/2011,20110427,718.4,-999,185.616875,230.1826042,-999,175.2939583,258.0608333,467.5
4/28/2011,20110428,718,-999,184.7281818,230.4165625,-999,175.7015625,258.0623958,467.3
4/29/2011,20110429,717.9,-999,-999,230.3319792,-999,176.1465625,258.01625,467.1
4/30/2011,20110430,717.6,-999,-999,230.0852083,-999,176.5146875,258.0847917,466.9
5/1/2011,20110501,717.4,-999,-999,229.9048958,-999,176.7476042,258.1345833,466.7
5/2/2011,20110502,717.1,-999,-999,229.8022917,-999,176.9441667,257.9998958,466.6
5/3/2011,20110503,716.9,-999,-999,229.706875,-999,177.1380208,257.89375,466.3
5/4/2011,20110504,716.5,-999,181.4366667,229.6340625,247.5845455,177.2391667,257.8891667,466
5/5/2011,20110505,716.3,-999,181.8535417,229.5627083,247.6641667,177.198125,257.845625,465.8
5/6/2011,20110506,716.1,-999,182.4351042,229.4845833,247.5196875,176.79125,257.903125,465.7
5/7/2011,20110507,715.9,-999,183.0035417,229.345,247.578125,176.5057292,257.9754167,465.3
5/8/2011,20110508,715.7,-999,183.5497917,229.1914583,247.8327083,176.4241667,258.0171875,465.2
5/9/2011,20110509,715.5,-999,184.1201042,229.0951042,247.8428125,176.3069792,257.9314583,465
5/10/2011,20110510,715.4,-999,184.6727083,228.9642708,247.6602083,176.3917708,257.8835417,464.7
5/11/2011,20110511,715.4,-999,185.2071875,228.7926042,247.4566667,176.4888542,257.776875,464.4
5/12/2011,20110512,715.3,-999,185.7323958,228.6053125,247.3589583,176.5809375,257.6461458,464.2
5/13/2011,20110513,715.2,-999,186.273125,228.4569792,247.3167708,176.5545833,257.6134375,464
5/14/2011,20110514,715,-999,186.8009375,228.3014583,247.3327083,176.486875,257.6620833,463.7
5/15/2011,20110515,715,-999,187.3573958,228.2029167,247.82875,176.1538542,257.7195833,463.4
5/16/2011,20110516,714.9,-999,187.895625,228.1776042,248.0660417,175.7142708,257.6347917,463.3
5/17/2011,20110517,715,-999,188.4435417,228.1476042,248.165,175.1352083,257.7410417,463.1
5/18/2011,20110518,714.9,-999,188.9910417,228.0870833,248.1922917,174.5907292,257.8026042,463
5/19/2011,20110519,714.9,-999,189.5059375,228.0459375,248.4486458,173.640625,257.8183333,462.9
5/20/2011,20110520,714.8,-999,190.0077083,228.0290625,248.7492708,172.4933333,257.8172917,462.8
5/21/2011,20110521,714.8,-999,190.5275,228.029375,248.8598958,171.3,257.8214583,462.6
5/22/2011,20110522,714.7,-999,191.0190625,228.03,249.0027083,170.0070833,257.7785417,462.4
5/23/2011,20110523,714.6,-999,191.5169792,227.9764583,248.7914583,168.9236458,257.7679167,462.3
5/24/2011,20110524,714.6,-999,192.0435417,227.8792708,248.74,167.7507292,257.7429167,462.2
5/25/2011,20110525,714.5,-999,192.5405208,227.7676042,248.838125,166.4542708,257.7278125,462
5/26/2011,20110526,714.5,-999,193.0721875,227.6741667,248.8305208,165.1044792,257.7060417,461.7
5/27/2011,20110527,714.5,-999,193.5485417,227.5780208,248.839375,163.76125,257.6120833,461.5
5/28/2011,20110528,714.5,-999,194.0171875,227.5125,248.9866667,162.185,257.5504167,461.4
5/29/2011,20110529,714.6,-999,194.4948958,227.4448958,249.0496875,160.6440625,257.5725,461.1
5/30/2011,20110530,714.6,-999,194.9736458,227.3857292,249.05375,159.030625,257.571875,460.8
5/31/2011,20110531,714.6,-999,195.4248958,227.2823958,248.9616667,157.3495833,257.5216667,460.7
6/1/2011,20110601,714.7,-999,195.8910417,227.1644792,248.8433333,155.7570833,257.5876042,460.4
6/2/2011,20110602,714.7,-999,196.3561458,227.0492708,248.7870833,154.245625,257.6,460.2
6/3/2011,20110603,714.7,-999,196.8080208,227.0180208,248.5907292,152.9721875,257.5569792,460
6/4/2011,20110604,714.8,-999,197.3054167,227.7175,248.624375,151.6416667,257.5932292,460
6/5/2011,20110605,714.8,-999,197.7735417,228.2935417,248.5905208,150.42,257.6351042,459.8
6/6/2011,20110606,714.9,-999,198.235,228.5784375,248.5147917,149.0709375,257.6214583,459.8
6/7/2011,20110607,714.8,-999,198.7070833,228.7688542,248.4021875,147.9122917,257.5846875,460
6/8/2011,20110608,714.5,-999,199.1483333,228.8590625,248.1590625,147.2309375,257.5061458,460
6/9/2011,20110609,714.3,-999,199.5966667,228.92,248.3796875,145.8196875,257.4425,460.7
6/10/2011,20110610,714.1,-999,200.0611458,228.9728125,248.2889583,144.6707292,257.5085417,460.9
6/11/2011,20110611,713.8,-999,200.4555208,228.9915625,248.4330208,143.195,257.56,461.2
6/12/2011,20110612,713.6,-999,200.7110417,229.0229167,248.6629167,141.1003125,257.5183333,461.4
6/13/2011,20110613,713.3,-999,201.1567708,229.0065625,248.5309375,139.2220833,257.40625,461.7
6/14/2011,20110614,713,-999,201.6153125,228.9629167,248.001875,138.2607292,257.4569792,462
6/15/2011,20110615,712.7,-999,202.0769792,228.8090625,247.5461458,137.9940625,257.4307292,462.3
6/16/2011,20110616,712.5,-999,202.5190625,228.5713542,247.6172917,136.8658333,257.2772917,462.4
6/17/2011,20110617,712.1,-999,202.9584375,228.4132292,247.5527083,135.7430208,257.3825,462.7
6/18/2011,20110618,711.8,-999,203.3840625,228.3495833,247.5782292,134.5792708,257.385,462.8
6/19/2011,20110619,711.3,-999,203.8161458,228.35375,247.7521875,133.4286458,257.3690625,463.2
6/20/2011,20110620,711.1,-999,204.2575,228.4038542,247.7602083,132.1007292,257.2875,463.4
6/21/2011,20110621,710.8,-999,204.661875,228.381875,247.3592708,131.7269792,257.2613542,463.7
6/22/2011,20110622,710.6,-999,205.0633333,228.3148958,247.0796875,131.5938542,257.1115625,463.9
6/23/2011,20110623,710.3,-999,205.4661458,228.1519792,246.7923958,131.2992708,257.0591667,464.1
6/24/2011,20110624,710.1,-999,205.8575,227.3344792,246.6792708,130.9688542,257.0545833,464.3
6/25/2011,20110625,709.9,-999,206.2239583,226.6566667,246.6176042,130.6959375,256.958125,464.5
6/26/2011,20110626,709.6,-999,206.5578125,226.1815625,246.6826042,130.4670833,256.9280208,464.6
6/27/2011,20110627,709.3,-999,206.8955208,225.81375,246.6446875,130.1820833,256.7960417,464.8
6/28/2011,20110628,708.9,-999,207.2290625,225.5171875,246.4453125,130.0701042,256.7383333,465.1
6/29/2011,20110629,708.7,-999,207.5655208,225.3103125,246.3438542,130.1984375,256.8390625,465.4
6/30/2011,20110630,708.4,-999,207.8507292,225.1322917,246.1530208,129.8711458,256.83625,465.6
7/1/2011,20110701,708.1,-999,208.1165625,224.94875,246.0938542,129.629661,256.9420833,465.8
7/2/2011,20110702,707.8,-999,208.3617708,224.7857292,246.1361458,-999,256.9302083,466.2
7/3/2011,20110703,707.9,-999,208.606875,224.6860417,246.2923958,-999,256.895625,466.4
7/4/2011,20110704,707.2,-999,208.8223958,224.54375,246.4269792,-999,256.8502083,466.6
7/5/2011,20110705,706.7,-999,209.0179167,224.4526042,246.4078125,-999,256.7461458,466.8
7/6/2011,20110706,706.4,-999,209.2052083,224.3283333,246.2926042,-999,256.5792708,467
7/7/2011,20110707,706.2,-999,209.3534375,224.2203125,246.1554167,-999,256.3604167,467.2
7/8/2011,20110708,705.9,-999,209.5033333,224.119375,246.0151042,-999,256.381875,467.5
7/9/2011,20110709,705.8,-999,209.64375,224.0704167,245.8916667,-999,256.5888542,467.5
7/10/2011,20110710,705.6,-999,209.7772917,224.0079167,245.9663542,-999,256.5867708,467.5
7/11/2011,20110711,705.5,-999,209.8701042,223.95,245.9327083,-999,256.4030208,467.4
7/12/2011,20110712,705.2,-999,209.9810417,223.8873958,245.7485417,-999,256.3389583,467.3
7/13/2011,20110713,705.1,-999,210.0876042,223.8027083,245.5883333,-999,256.4346875,467.2
7/14/2011,20110714,705.1,-999,209.9961458,223.7591667,245.3647917,-999,256.5482292,467.2
7/15/2011,20110715,704.9,-999,209.2409375,223.7363542,245.1779167,-999,256.6633333,467.3
7/16/2011,20110716,704.8,-999,208.4590625,223.7520833,245.0998958,-999,257.0123958,467.2
7/17/2011,20110717,704.6,-999,207.7111458,223.8030208,245.2695833,-999,257.41875,467.2
7/18/2011,20110718,704.6,-999,206.9703125,223.8064583,245.3054167,-999,257.5597917,467.2
7/19/2011,20110719,704.2,-999,206.2448958,223.8060417,245.15625,-999,257.5408333,467.1
7/20/2011,20110720,704.2,-999,205.5189583,223.795,245.0815625,-999,257.5692708,467.1
7/21/2011,20110721,704.3,-999,205.0427083,223.7863542,244.9184375,-999,257.7303125,467.1
7/22/2011,20110722,704.2,-999,205.2739583,223.73875,244.7976042,-999,257.9539583,467.2
7/23/2011,20110723,704.1,-999,205.5628125,223.6544792,244.7975,-999,258.3542708,467.1
7/24/2011,20110724,704,-999,205.8363542,223.5829167,244.9538542,-999,258.7790625,467.1
7/25/2011,20110725,703.9,-999,206.0953125,223.4965625,244.9967708,-999,258.9646875,467
7/26/2011,20110726,703.9,-999,206.3405208,223.4005208,244.8707292,-999,259.009375,467
7/27/2011,20110727,703.9,-999,206.57,223.3134375,244.7164583,-999,259.076875,466.9
7/28/2011,20110728,703.9,-999,206.72375,223.2659375,244.3566667,-999,258.8979167,466.8
7/29/2011,20110729,703.9,-999,206.1405208,223.2495833,243.8434375,-999,258.7886458,466.8
7/30/2011,20110730,703.8,-999,205.4182292,223.2508333,243.3420833,-999,258.7466667,466.6
7/31/2011,20110731,703.8,-999,204.7217708,223.2383333,242.8244792,-999,258.7348958,466.7
8/1/2011,20110801,703.8,-999,204.0410417,223.1697917,242.3347917,-999,258.6282292,466.6
8/2/2011,20110802,703.6,-999,203.3435417,223.0741667,241.7503125,-999,258.3625,466.5
8/3/2011,20110803,703.6,-999,202.6758333,222.9028125,241.5938542,-999,257.9602083,466.4
8/4/2011,20110804,703.8,-999,202.013125,222.7651042,241.5260417,-999,257.6488542,466.3
8/5/2011,20110805,703.4,-999,201.3538542,222.631875,241.3857292,-999,257.2875,466.3
8/6/2011,20110806,703.3,-999,200.6908333,222.5371875,241.3122917,-999,256.9858333,466.2
8/7/2011,20110807,703.6,-999,200.0382292,222.420625,240.9579167,-999,256.9254167,466.1
8/8/2011,20110808,703.1,-999,199.6097917,222.2841667,240.7403125,-999,256.7426042,466.1
8/9/2011,20110809,703.6,-999,199.8991667,222.1092708,240.4311458,-999,256.4325,466
8/10/2011,20110810,703.5,-999,200.2114583,221.9027083,239.8775,-999,256.3008333,466
8/11/2011,20110811,703.6,-999,200.5296875,221.6722917,239.4016667,-999,256.4297917,465.8
8/12/2011,20110812,703.6,-999,200.8359375,221.4892708,239.0325,-999,256.451875,465.7
8/13/2011,20110813,703.5,-999,201.1672917,221.3066667,238.7209375,-999,256.3819792,465.7
8/14/2011,20110814,703.5,-999,201.4609375,221.1159375,238.5882292,-999,256.6219792,465.6
8/15/2011,20110815,703.5,-999,201.7423958,220.9497917,238.5538542,-999,256.7339583,465.6
8/16/2011,20110816,703.5,-999,202.0453125,220.7513542,238.3408333,-999,256.6165625,465.4
8/17/2011,20110817,703.4,-999,202.3120833,220.5284375,238.1580208,-999,256.5176042,465.4
8/18/2011,20110818,703.4,-999,202.5896875,220.3419792,237.9153125,-999,256.5630208,465.4
8/19/2011,20110819,703.4,-999,202.8573958,220.1715625,237.5105208,-999,256.5860417,465.3
